Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,class
534,1,1,2,own,,,3105,24,radio/TV,1
535,2,1,2,rent,little,rich,2319,21,education,2
536,4,0,3,own,,little,1374,6,car,1
537,2,0,2,own,little,moderate,3612,18,furniture/equipment,1
538,2,1,3,free,little,little,7763,48,car,2
539,2,0,1,own,little,rich,3049,18,furniture/equipment,1
540,1,1,2,rent,little,moderate,1534,12,radio/TV,2
541,3,1,2,free,little,,2032,24,car,1
542,1,1,2,own,,little,6350,30,furniture/equipment,2
543,2,1,1,own,little,rich,2864,18,furniture/equipment,2
544,3,1,1,own,little,,1255,12,car,1
545,2,1,2,free,little,little,1333,24,car,2
546,2,0,2,own,little,,2022,24,car,1
547,1,1,2,own,little,,1552,24,radio/TV,1
548,1,0,1,own,little,little,626,12,radio/TV,2
549,2,1,2,free,,,8858,48,car,1
550,1,0,2,own,,,996,12,repairs,1
551,2,1,1,own,quite rich,,1750,6,radio/TV,1
552,2,1,2,own,little,little,6999,48,radio/TV,2
553,1,1,2,own,moderate,moderate,1995,12,car,1
554,4,0,3,own,little,moderate,1199,9,education,1
555,1,1,2,own,little,moderate,1331,12,radio/TV,2
556,1,0,2,own,moderate,moderate,2278,18,car,2
557,1,0,2,own,,,5003,21,car,2
558,1,1,2,own,little,little,3552,24,furniture/equipment,2
559,1,1,1,own,little,moderate,1928,18,furniture/equipment,2
560,3,1,2,free,,little,2964,24,car,1
561,1,1,1,rent,little,little,1546,24,radio/TV,2
562,1,0,2,own,little,rich,683,6,radio/TV,1
563,2,1,2,free,,moderate,12389,36,car,2
564,2,1,3,own,,moderate,4712,24,business,1
565,1,0,2,rent,moderate,moderate,1553,24,radio/TV,1
566,2,1,2,own,little,little,1372,12,car,2
567,2,1,2,own,rich,,2578,24,radio/TV,1
568,2,1,2,own,,moderate,3979,48,radio/TV,1
569,1,0,2,own,little,little,6758,48,radio/TV,2
570,1,0,1,rent,little,little,3234,24,furniture/equipment,2
571,2,1,2,own,little,,5954,30,radio/TV,1
572,1,0,3,rent,,,5433,24,car,1
573,1,0,1,own,little,little,806,15,business,1
574,1,1,1,own,little,moderate,1082,9,radio/TV,1
575,1,0,2,own,little,,2788,15,furniture/equipment,1
576,1,0,2,own,little,moderate,2930,12,radio/TV,1
577,2,0,2,own,,,1927,24,education,1
578,1,1,2,own,little,moderate,2820,36,car,2
579,1,1,1,own,little,,937,24,education,1
580,1,1,2,own,little,moderate,1056,18,car,2
581,3,1,1,own,little,moderate,3124,12,car,1
582,1,0,2,rent,little,,1388,9,furniture/equipment,1
583,2,1,1,rent,little,moderate,2384,36,repairs,2
584,3,0,3,free,,,2133,12,car,1
585,1,0,2,rent,little,little,2039,18,furniture/equipment,2
586,2,1,2,rent,little,little,2799,9,car,1
587,1,1,1,own,little,little,1289,12,furniture/equipment,1
588,2,1,1,own,little,little,1217,18,domestic appliances,2
589,3,1,2,own,little,little,2246,12,furniture/equipment,2
590,3,0,1,own,little,little,385,12,radio/TV,1
591,2,0,2,rent,,moderate,1965,24,car,1
592,2,0,1,own,rich,,1572,21,business,1
593,1,0,1,rent,little,moderate,2718,24,car,2
594,2,1,3,own,,little,1358,24,vacation/others,2
595,1,0,1,own,moderate,moderate,931,6,car,2
596,1,0,2,rent,little,little,1442,24,car,2
597,2,1,1,own,little,moderate,4241,24,business,2
598,1,1,2,own,little,,2775,18,car,2
599,1,1,2,free,little,,3863,24,business,1
600,2,0,2,own,little,moderate,2329,7,radio/TV,1
601,1,0,2,own,little,moderate,918,9,furniture/equipment,2
602,2,0,1,free,little,moderate,1837,24,education,2
603,1,0,3,own,little,,3349,36,furniture/equipment,2
604,1,0,2,own,little,rich,1275,10,furniture/equipment,1
605,1,1,2,own,quite rich,little,2828,24,furniture/equipment,1
606,4,1,3,own,little,,4526,24,business,1
607,3,0,2,free,moderate,moderate,2671,36,radio/TV,2
608,2,1,2,own,little,,2051,18,radio/TV,1
609,2,1,2,free,,,1300,15,car,1
610,1,0,2,own,moderate,little,741,12,domestic appliances,2
611,3,0,1,free,moderate,rich,1240,10,car,2
612,1,0,2,own,rich,little,3357,21,radio/TV,1
613,1,0,2,rent,little,little,3632,24,car,1
614,1,0,2,own,little,,1808,18,furniture/equipment,2
615,3,1,3,own,,moderate,12204,48,business,1
616,1,1,3,free,,moderate,9157,60,radio/TV,1
617,2,1,2,rent,little,little,3676,6,car,1
618,1,0,2,rent,moderate,moderate,3441,30,furniture/equipment,2
619,3,1,1,own,little,,640,12,car,1
620,1,1,2,own,little,moderate,3652,21,business,1
621,1,1,2,own,little,,1530,18,car,2
622,2,1,2,own,,,3914,48,business,2
623,1,0,2,rent,little,little,1858,12,furniture/equipment,1
624,4,1,2,free,little,little,2600,18,radio/TV,2
625,2,1,2,own,,,1979,15,radio/TV,1
626,2,1,2,own,little,rich,2116,6,furniture/equipment,1
627,1,1,2,own,moderate,moderate,1437,9,car,2
628,2,1,2,own,quite rich,,4042,42,furniture/equipment,1
629,4,1,1,own,,,3832,9,education,1
630,1,0,2,own,little,little,3660,24,radio/TV,1
631,2,1,2,own,little,little,1553,18,furniture/equipment,2
632,1,1,2,own,,moderate,1444,15,radio/TV,1
633,1,0,2,rent,little,,1980,9,furniture/equipment,2
634,1,0,1,own,little,moderate,1355,24,car,2
635,2,1,2,own,little,,1393,12,education,1
636,1,0,2,own,quite rich,,1376,24,radio/TV,1
637,1,1,2,own,little,,15653,60,radio/TV,1
638,2,0,2,own,little,,1493,12,radio/TV,1
639,1,1,2,own,little,little,4370,42,radio/TV,2
640,1,0,0,own,little,little,750,18,education,2
641,2,1,1,own,little,moderate,1308,15,repairs,1
642,2,1,3,own,moderate,,4623,15,education,2
643,2,1,2,own,little,,1851,24,radio/TV,1
644,1,1,3,own,little,little,1880,18,radio/TV,1
645,1,1,2,rent,,,7980,36,business,2
646,1,1,2,own,little,little,4583,30,furniture/equipment,1
647,1,0,2,own,quite rich,,1386,12,car,2
648,2,1,2,free,little,rich,947,24,car,2
649,2,1,1,rent,little,little,684,12,education,2
650,3,1,3,free,little,little,7476,48,education,1
651,2,1,1,own,little,moderate,1922,12,furniture/equipment,2
652,2,1,2,own,little,little,2303,24,car,2
653,2,1,3,own,moderate,moderate,8086,36,car,2
654,2,1,2,own,little,,2346,24,car,1
655,1,1,2,free,little,little,3973,14,car,1
656,2,1,1,own,little,moderate,888,12,car,2
657,2,1,2,own,,,10222,48,radio/TV,1
658,1,0,2,own,little,moderate,4221,30,business,1
659,2,1,2,own,little,moderate,6361,18,furniture/equipment,1
660,1,1,2,rent,little,rich,1297,12,radio/TV,1
661,1,1,2,own,,little,900,12,car,2
662,3,1,2,own,little,,2241,21,furniture/equipment,1
663,2,1,3,own,little,moderate,1050,6,furniture/equipment,1
664,3,0,1,own,little,rich,1047,6,education,1
665,1,1,3,own,little,,6314,24,vacation/others,1
666,2,1,2,own,rich,moderate,3496,30,furniture/equipment,1
667,1,0,2,own,little,,3609,48,business,1
668,2,1,2,rent,little,little,4843,12,car,2
669,2,1,2,own,little,rich,3017,30,radio/TV,1
670,1,1,1,own,moderate,,4139,24,business,1
671,1,1,2,own,moderate,,5742,36,business,1
672,2,1,3,own,little,,10366,60,car,1
673,1,1,2,own,quite rich,,2080,6,car,1
674,2,1,1,own,quite rich,,2580,21,business,2
675,1,0,3,rent,little,,4530,30,radio/TV,1
676,2,1,2,own,little,,5150,24,furniture/equipment,1
677,1,1,2,own,moderate,moderate,5595,72,radio/TV,2
678,4,1,1,rent,little,little,2384,24,radio/TV,1
679,1,0,2,own,little,,1453,18,radio/TV,1
680,3,0,2,own,little,,1538,6,education,1
681,2,1,2,free,,,2279,12,radio/TV,1
682,2,1,2,own,little,,1478,15,radio/TV,1
683,2,1,2,free,little,,5103,24,radio/TV,1
684,1,1,1,own,moderate,moderate,9857,36,business,1
685,2,1,2,free,,,6527,60,car,1
686,1,1,2,own,,rich,1347,10,radio/TV,1
687,1,1,2,free,moderate,moderate,2862,36,car,1
688,2,1,2,own,moderate,,2753,9,radio/TV,1
689,1,1,2,own,rich,little,3651,12,car,1
690,1,1,2,own,little,little,975,15,furniture/equipment,1
691,1,0,1,own,moderate,moderate,2631,15,repairs,1
692,1,1,2,own,moderate,moderate,2896,24,radio/TV,1
693,2,1,1,own,,little,4716,6,car,1
694,1,1,2,own,little,,2284,24,radio/TV,1
695,3,1,2,rent,quite rich,,1236,6,car,1
696,1,1,2,own,little,moderate,1103,12,radio/TV,1
697,2,0,0,own,little,,926,12,car,1
698,1,1,2,own,little,,1800,18,radio/TV,1
699,2,1,3,rent,little,rich,1905,15,education,1
700,1,0,1,rent,quite rich,,1123,12,furniture/equipment,2
701,2,1,2,free,little,little,6331,48,car,2
702,2,0,2,free,moderate,rich,1377,24,radio/TV,1
703,2,1,2,own,moderate,moderate,2503,30,business,1
704,1,0,2,own,little,moderate,2528,27,business,1
705,2,0,2,free,quite rich,,5324,15,car,1
706,1,1,2,own,moderate,moderate,6560,48,car,2
707,1,0,2,rent,little,moderate,2969,12,furniture/equipment,2
708,1,0,2,own,little,moderate,1206,9,radio/TV,1
709,2,1,1,own,little,moderate,2118,9,radio/TV,1
710,1,1,3,own,quite rich,,629,18,radio/TV,1
711,2,0,2,free,little,little,1198,6,education,2
712,2,1,3,own,,,2476,21,car,1
713,1,1,1,own,little,little,1138,9,radio/TV,1
714,1,1,3,own,little,moderate,14027,60,car,2
715,4,1,2,own,,,7596,30,car,1
716,2,1,2,own,,,3077,30,radio/TV,1
717,1,1,3,free,little,,1505,18,radio/TV,1
718,1,1,2,own,,rich,3148,24,radio/TV,1
719,1,1,2,own,moderate,moderate,6148,20,car,1
720,2,1,3,own,little,rich,1337,9,radio/TV,2
721,1,0,2,rent,rich,moderate,433,6,education,2
722,1,0,1,own,little,little,1228,12,car,2
723,4,0,1,own,quite rich,moderate,790,9,radio/TV,1
724,1,0,2,rent,little,,2570,27,car,2
725,2,0,1,own,rich,,250,6,car,1
726,2,1,1,own,quite rich,,1316,15,radio/TV,1
727,1,0,2,rent,little,little,1882,18,radio/TV,2
728,3,0,2,rent,little,moderate,6416,48,business,2
729,2,1,2,own,rich,rich,1275,24,business,1
730,2,1,2,own,little,moderate,6403,24,radio/TV,1
731,1,1,1,rent,little,little,1987,24,radio/TV,2
732,2,0,1,own,little,moderate,760,8,radio/TV,1
733,1,0,2,rent,rich,,2603,24,car,1
734,2,0,2,own,little,,3380,4,car,1
735,1,0,0,own,,moderate,3990,36,domestic appliances,1
736,1,0,3,rent,little,moderate,11560,24,car,2
737,2,1,1,own,moderate,little,4380,18,car,1
738,2,1,3,own,little,,6761,6,car,1
739,1,0,1,rent,moderate,moderate,4280,30,business,2
740,1,1,2,own,moderate,little,2325,24,car,1
741,1,1,1,own,little,moderate,1048,10,radio/TV,1
742,2,1,2,own,,,3160,21,radio/TV,1
743,1,1,2,own,quite rich,little,2483,24,furniture/equipment,1
744,1,1,3,own,,little,14179,39,furniture/equipment,1
745,1,1,1,own,little,little,1797,13,business,1
746,1,0,2,rent,little,little,2511,15,car,1
747,2,0,1,own,little,little,1274,12,car,2
748,1,1,2,own,,,5248,21,car,1
749,2,1,2,own,little,,3029,15,car,1
750,3,0,2,own,little,little,428,6,furniture/equipment,1
751,1,0,1,own,little,little,976,18,car,2
752,1,0,1,rent,moderate,moderate,841,12,business,1
753,1,0,2,own,little,,5771,30,radio/TV,1
754,3,1,2,free,rich,,1555,12,repairs,2
755,1,0,2,rent,,little,1285,24,car,2
756,4,1,0,own,little,rich,1299,6,car,1
757,2,1,2,free,,rich,1271,15,radio/TV,2
758,1,1,2,own,little,,1393,24,car,1
759,2,1,2,own,little,little,691,12,car,2
760,3,0,2,own,,,5045,15,car,1
761,1,0,2,rent,little,little,2124,18,furniture/equipment,2
762,1,1,1,own,little,little,2214,12,radio/TV,1
763,1,1,3,free,,,12680,21,car,2
764,1,1,2,own,moderate,,2463,24,car,1
765,2,1,1,own,little,moderate,1155,12,radio/TV,1
766,1,1,1,own,little,little,3108,30,furniture/equipment,2
767,1,0,2,rent,,,2901,10,car,1
768,1,1,2,rent,little,moderate,3617,12,furniture/equipment,1
769,4,1,1,own,little,,1655,12,radio/TV,1
770,1,0,2,rent,,little,2812,24,car,1
771,1,0,3,own,little,little,8065,36,education,2
772,2,1,3,own,little,,3275,21,car,1
773,3,1,2,own,moderate,,2223,24,radio/TV,1
774,4,1,0,free,quite rich,rich,1480,12,car,1
775,1,0,2,rent,,little,1371,24,car,2
776,2,1,2,own,little,,3535,36,car,1
777,1,0,2,own,little,little,3509,18,radio/TV,1
778,2,1,3,own,rich,,5711,36,car,1
779,4,0,2,own,little,moderate,3872,18,repairs,1
780,1,1,2,own,little,moderate,4933,39,radio/TV,2
781,3,1,2,own,rich,,1940,24,car,1
782,1,1,1,own,little,moderate,1410,12,education,1
783,1,0,1,own,moderate,moderate,836,12,car,2
784,3,1,3,own,,moderate,6468,20,car,1
785,2,1,1,own,rich,moderate,1941,18,business,1
786,2,1,2,own,quite rich,,2675,22,radio/TV,1
787,2,1,2,own,,,2751,48,car,1
788,3,1,2,free,little,moderate,6224,48,education,2
789,1,1,2,own,little,little,5998,40,education,2
790,2,0,2,own,little,moderate,1188,21,business,2
791,2,1,3,own,,,6313,24,car,1
792,1,1,2,own,,,1221,6,furniture/equipment,1
793,3,1,2,free,little,rich,2892,24,furniture/equipment,1
794,1,1,2,rent,quite rich,,3062,24,furniture/equipment,1
795,1,0,2,rent,moderate,,2301,9,furniture/equipment,1
796,3,1,2,free,,little,7511,18,car,2
797,1,0,1,rent,little,,1258,12,furniture/equipment,1
798,3,1,2,own,,,717,24,car,1
799,2,1,0,own,,moderate,1549,9,car,1
800,3,1,2,free,little,,1597,24,education,1
801,3,0,1,rent,little,moderate,1795,18,radio/TV,1
802,1,0,2,own,little,little,4272,20,furniture/equipment,1
803,2,1,2,own,,,976,12,radio/TV,1
804,1,0,0,rent,,moderate,7472,12,car,1
805,1,1,2,own,little,little,9271,36,car,2
806,1,1,1,own,little,moderate,590,6,radio/TV,1
807,4,1,2,own,,,930,12,radio/TV,1
808,3,1,3,free,little,moderate,9283,42,car,1
809,1,0,0,rent,little,moderate,1778,15,car,2
810,1,1,2,own,little,moderate,907,8,business,1
811,1,1,1,own,little,moderate,484,6,radio/TV,1
812,1,1,2,own,little,little,9629,36,car,2
813,3,1,2,own,little,little,3051,48,domestic appliances,2
814,2,1,2,free,little,little,3931,48,car,2
815,3,0,2,rent,little,moderate,7432,36,car,1
816,4,1,2,own,quite rich,,1338,6,domestic appliances,1
817,1,0,2,rent,little,,1554,6,radio/TV,1
818,2,1,3,own,little,little,15857,36,vacation/others,1
819,1,1,2,own,little,little,1345,18,radio/TV,2
820,1,1,2,own,little,,1101,12,car,1
821,1,1,2,own,little,rich,3016,12,radio/TV,1
822,2,1,2,own,little,little,2712,36,furniture/equipment,2
823,2,1,1,own,little,little,731,8,car,1
824,2,1,3,own,little,,3780,18,furniture/equipment,1
825,1,1,2,own,little,little,1602,21,car,1
826,2,0,2,rent,little,little,3966,18,car,2
827,2,1,2,own,little,,4165,18,business,2
828,2,1,2,free,,little,8335,36,car,2
829,2,1,2,free,,moderate,6681,48,business,1
830,2,1,2,own,quite rich,,2375,24,business,1
831,1,0,2,rent,little,little,1216,18,car,2
832,1,1,2,rent,little,little,11816,45,business,2
833,2,0,2,own,,moderate,5084,24,radio/TV,1
834,1,0,1,own,little,rich,2327,15,radio/TV,2
835,3,1,2,own,little,little,1082,12,car,2
836,1,0,2,own,,,886,12,radio/TV,1
837,1,0,1,rent,little,,601,4,furniture/equipment,1
838,4,1,2,own,little,little,2957,24,car,1
839,2,1,2,own,little,,2611,24,radio/TV,1
840,1,1,2,own,little,little,5179,36,furniture/equipment,2
841,1,1,1,own,little,,2993,21,car,1
842,1,0,2,own,little,,1943,18,repairs,2
843,3,1,2,own,little,,1559,24,business,1
844,2,1,2,own,little,,3422,18,furniture/equipment,1
845,2,1,2,own,,moderate,3976,21,furniture/equipment,1
846,4,1,2,rent,,,6761,18,car,2
847,1,1,2,own,little,,1249,24,car,1
848,3,1,2,own,little,little,1364,9,radio/TV,1
849,3,1,1,own,little,little,709,12,radio/TV,2
850,2,1,2,rent,little,little,2235,20,car,2
851,2,1,2,own,,,4042,24,car,1
852,2,1,2,free,little,,1471,15,radio/TV,1
853,1,1,1,free,little,little,1442,18,car,2
854,2,1,2,own,little,,10875,36,car,1
855,2,1,2,own,moderate,,1474,24,car,1
856,2,0,2,own,,,894,10,education,1
857,1,1,2,free,little,,3343,15,furniture/equipment,1
858,1,0,2,own,little,little,3959,15,car,2
859,1,1,2,rent,moderate,,3577,9,car,1
860,1,1,2,own,rich,,5804,24,car,1
861,1,1,2,own,little,,2169,18,business,2
862,2,0,2,own,little,little,2439,24,radio/TV,2
863,1,1,1,own,rich,,4526,27,furniture/equipment,1
864,1,1,1,rent,little,,2210,10,furniture/equipment,2
865,1,0,2,rent,quite rich,,2221,15,furniture/equipment,1
866,1,0,2,own,little,little,2389,18,radio/TV,1
867,2,1,2,own,little,,3331,12,furniture/equipment,1
868,2,1,2,own,,,7409,36,business,1
869,1,0,2,rent,little,little,652,12,furniture/equipment,1
870,2,0,2,own,quite rich,,7678,36,furniture/equipment,1
871,2,1,2,own,little,rich,1343,6,car,1
872,1,1,2,own,moderate,little,1382,24,business,1
873,1,0,2,own,,,874,15,domestic appliances,1
874,1,1,1,own,little,little,3590,12,furniture/equipment,1
875,2,0,2,own,rich,moderate,1322,11,car,1
876,2,1,3,free,little,little,1940,18,radio/TV,1
877,1,1,2,own,little,,3595,36,radio/TV,1
878,1,1,3,free,little,little,1422,9,car,2
879,2,1,2,own,,,6742,30,radio/TV,1
880,2,1,3,own,little,,7814,24,car,1
881,3,1,2,free,,,9277,24,car,1
882,2,1,2,own,,moderate,2181,30,car,1
883,4,0,0,own,little,,1098,18,radio/TV,1
884,2,1,2,own,little,moderate,4057,24,furniture/equipment,2
885,3,0,2,own,little,little,795,12,education,2
886,2,1,2,own,,moderate,2825,24,business,1
887,1,1,2,own,little,moderate,15672,48,business,2
888,2,1,3,own,little,,6614,36,car,1
889,2,1,2,rent,,,7824,28,car,1
890,2,1,3,own,little,little,2442,27,business,1
891,2,1,2,own,little,,1829,15,radio/TV,1
892,2,1,1,own,little,little,2171,12,car,1
893,2,1,2,own,little,moderate,5800,36,car,1
894,1,1,2,own,,,1169,18,radio/TV,1
895,1,1,3,own,,,8947,36,car,1
896,1,0,3,rent,little,little,2606,21,radio/TV,1
897,2,0,2,own,rich,,1592,12,furniture/equipment,1
898,2,0,1,rent,,,2186,15,furniture/equipment,1
899,2,1,2,own,little,little,4153,18,furniture/equipment,2
900,2,1,2,rent,little,little,2625,16,car,2
901,2,1,2,own,,,3485,20,car,1
902,2,1,2,free,,,10477,36,car,1
903,2,1,2,rent,,,1386,15,radio/TV,1
904,2,1,3,own,little,,1278,24,radio/TV,1
905,1,1,3,rent,little,little,1107,12,radio/TV,1
906,1,1,1,own,,little,3763,21,car,1
907,1,1,2,own,,moderate,3711,36,education,1
908,2,0,1,own,little,,3594,15,car,1
909,2,0,1,own,,moderate,3195,9,car,1
910,2,0,2,own,little,,4454,36,radio/TV,1
911,1,0,1,own,little,moderate,4736,24,furniture/equipment,2
912,1,0,2,own,,moderate,2991,30,radio/TV,1
913,1,1,2,own,rich,,2142,11,business,1
914,1,1,2,rent,little,little,3161,24,business,2
915,1,0,3,own,little,moderate,18424,48,vacation/others,2
916,1,1,2,own,moderate,,2848,10,car,1
917,4,1,3,own,little,little,14896,6,car,2
918,2,1,2,own,moderate,little,2359,24,furniture/equipment,2
919,2,1,3,rent,little,little,3345,24,furniture/equipment,2
920,1,0,2,own,little,,1817,18,furniture/equipment,1
921,2,1,3,own,quite rich,,12749,48,radio/TV,1
922,1,0,2,rent,little,little,1366,9,radio/TV,2
923,1,1,2,rent,little,moderate,2002,12,car,1
924,3,1,2,own,little,little,6872,24,furniture/equipment,2
925,2,1,2,own,little,little,697,12,car,2
926,1,0,2,rent,little,little,1049,18,furniture/equipment,1
927,2,1,2,free,little,little,10297,48,car,2
928,3,1,2,own,,,1867,30,radio/TV,1
929,2,1,1,own,little,little,1344,12,car,1
930,1,1,1,own,little,little,1747,24,furniture/equipment,1
931,1,0,2,own,little,moderate,1670,9,radio/TV,2
932,1,1,2,own,little,,1224,9,car,1
933,2,1,2,own,quite rich,,522,12,radio/TV,1
934,1,0,2,own,little,little,1498,12,radio/TV,1
935,1,1,3,own,moderate,moderate,1919,30,radio/TV,2
936,1,0,1,own,little,rich,745,9,radio/TV,2
937,1,1,3,rent,little,moderate,2063,6,radio/TV,1
938,2,1,2,free,little,moderate,6288,60,education,2
939,2,1,3,own,,,6842,24,car,1
940,2,1,3,own,,,3527,12,car,1
941,1,1,1,own,little,,1546,10,car,1
942,1,1,2,own,,,929,24,furniture/equipment,1
943,2,1,1,own,little,,1455,4,car,1
944,2,0,2,rent,little,little,1845,15,furniture/equipment,1
945,1,0,2,own,quite rich,moderate,8358,48,car,1
946,1,1,2,free,quite rich,little,3349,24,furniture/equipment,2
947,2,1,3,own,,,2859,12,car,1
948,2,1,1,own,little,,1533,18,furniture/equipment,2
949,1,1,2,own,moderate,,3621,24,radio/TV,2
950,2,1,0,own,little,moderate,3590,18,business,1
951,1,1,2,own,little,little,2145,36,business,2
952,1,0,2,rent,quite rich,moderate,4113,24,car,2
953,1,0,3,own,little,,10974,36,furniture/equipment,2
954,1,0,2,own,little,little,1893,12,car,1
955,3,0,3,rent,rich,little,1231,24,radio/TV,1
956,3,1,1,own,,rich,3656,30,radio/TV,1
957,2,1,1,own,little,moderate,1154,9,radio/TV,1
958,2,1,1,own,little,little,4006,28,car,2
959,1,1,2,free,moderate,moderate,3069,24,furniture/equipment,1
960,1,1,2,rent,little,,1740,6,radio/TV,1
961,2,1,2,own,little,moderate,2353,21,car,1
962,1,1,2,own,,,3556,15,car,1
963,2,1,2,own,quite rich,,2397,24,radio/TV,2
964,1,1,1,own,little,moderate,454,6,repairs,1
965,1,0,2,own,,moderate,1715,30,radio/TV,1
966,1,1,1,own,quite rich,moderate,2520,27,radio/TV,2
967,3,0,3,rent,little,,3568,15,radio/TV,1
968,1,1,2,rent,,,7166,42,radio/TV,1
969,2,1,1,own,little,little,3939,11,car,1
970,1,1,2,own,moderate,moderate,1514,15,repairs,1
971,2,1,1,own,little,,7393,24,car,1
972,1,0,0,rent,little,little,1193,24,car,2
973,2,1,2,rent,little,little,7297,60,business,2
974,2,0,2,own,little,,2831,30,radio/TV,1
975,3,0,1,own,quite rich,rich,1258,24,radio/TV,1
976,4,0,2,own,little,moderate,753,6,radio/TV,1
977,2,1,2,own,,moderate,2427,18,business,1
978,2,1,1,own,little,,2538,24,car,2
979,1,1,2,rent,moderate,moderate,1264,15,car,2
980,3,1,2,own,little,moderate,8386,30,furniture/equipment,2
981,2,1,3,rent,little,,4844,48,business,2
982,1,0,3,own,moderate,rich,2923,21,car,1
983,1,1,2,own,little,little,8229,36,car,2
984,1,1,1,own,little,,2028,24,furniture/equipment,1
985,1,0,2,rent,little,little,1433,15,furniture/equipment,1
986,2,1,2,own,little,rich,6289,42,business,1
987,4,0,2,own,moderate,,1409,13,radio/TV,1
988,1,1,3,free,little,little,6579,24,car,1
989,3,1,1,own,little,moderate,1743,24,radio/TV,1
990,2,1,1,own,,,3565,12,education,1
991,2,1,1,own,moderate,,1569,15,radio/TV,1
992,1,1,1,rent,,little,1936,18,radio/TV,1
993,1,1,3,own,little,little,3959,36,furniture/equipment,1
994,3,1,2,own,,,2390,12,car,1
995,1,0,1,own,little,,1736,12,furniture/equipment,1
996,2,1,3,own,little,little,3857,30,car,1
997,2,1,2,own,little,,804,12,radio/TV,1
998,1,1,2,free,little,little,1845,45,radio/TV,2
999,1,1,2,own,moderate,moderate,4576,45,car,1
